Run	Operation	Compression?	Algorithm	Tool	Parameters	Records	File size (KB)	Execution Time (s)	Mean Power (W)	Energy Consumption (J)
1	Sending	No	-	-	1	86400	1764	3,893	0,07	0,35
2	Sending	No	-	-	1	86400	1764	7,038	0,07	0,23
3	Sending	No	-	-	1	86400	1764	4,811	0,07	0,35
4	Sending	No	-	-	1	86400	1764	7,234	0,05	0,12
5	Sending	No	-	-	1	86400	1764	5,877	0,08	0,58
1	Sending	No	-	-	2	86400	3028	5,5	0,09	0,81
2	Sending	No	-	-	2	86400	3028	9,541	0,08	0,46
3	Sending	No	-	-	2	86400	3028	4,424	0,08	0,58
4	Sending	No	-	-	2	86400	3028	4,987	0,09	0,69
5	Sending	No	-	-	2	86400	3028	5,135	0,08	0,46
1	Sending	No	-	-	4	86400	5560	6,884	0,11	1,5
2	Sending	No	-	-	4	86400	5560	8,588	0,1	1,27
3	Sending	No	-	-	4	86400	5560	12,935	0,1	1,27
4	Sending	No	-	-	4	86400	5560	11,722	0,11	1,5
5	Sending	No	-	-	4	86400	5560	7,591	0,11	1,39
1	Sending	No	-	-	8	86400	10624	12,476	0,23	3,13
2	Sending	No	-	-	8	86400	10624	13,392	0,2	2,08
3	Sending	No	-	-	8	86400	10624	14,402	0,22	2,55
4	Sending	No	-	-	8	86400	10624	16,52	0,2	2,31
5	Sending	No	-	-	8	86400	10624	35,952	0,23	2,89
1	Sending	No	-	-	16	86400	20748	19,569	0,31	7,52
2	Sending	No	-	-	16	86400	20748	24,167	0,27	6,6
3	Sending	No	-	-	16	86400	20748	31,847	0,37	12,73
4	Sending	No	-	-	16	86400	20748	42,834	0,35	12,04
5	Sending	No	-	-	16	86400	20748	26,429	0,36	12,15
1	Sending	No	-	-	32	86400	40996	40,132	0,36	16,09
2	Sending	No	-	-	32	86400	40996	71,545	0,34	13,66
3	Sending	No	-	-	32	86400	40996	36,303	0,38	16,44
4	Sending	No	-	-	32	86400	40996	61,824	0,44	25,12
5	Sending	No	-	-	32	86400	40996	52,245	0,46	29,51
1	Sending	No	-	-	64	86400	81500	104,742	0,41	53,36
2	Sending	No	-	-	64	86400	81500	135,548	0,43	50,46
3	Sending	No	-	-	64	86400	81500	76,259	0,33	32,52
4	Sending	No	-	-	64	86400	81500	71,173	0,35	30,9
5	Sending	No	-	-	64	86400	81500	69,973	0,35	32,99
1	Sending	No	-	-	128	86400	162496	163,463	0,38	73,38
2	Sending	No	-	-	128	86400	162496	189,031	0,45	96,64
3	Sending	No	-	-	128	86400	162496	150,794	0,38	64,12
