Run	Operation	Algorithm	Tool	Compression level *	Parameters	Records	File size (KB)	Compressed file size (KB)	Execution Time (s)	Mean Power (W)	Energy Consumption (J)
1	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	1	86400	1764	768	1,032	0,05	0,12
2	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	1	86400	1764	768	1,029	0,07	0,23
3	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	1	86400	1764	768	1,02	0,05	0,12
4	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	1	86400	1764	768	1,027	0,05	0,12
5	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	1	86400	1764	768	1,026	0,05	0,12
1	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	2	86400	3028	1344	1,73	0,08	0,58
2	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	2	86400	3028	1344	1,721	0,09	0,69
3	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	2	86400	3028	1344	1,72	0,08	0,58
4	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	2	86400	3028	1344	1,741	0,09	0,69
5	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	2	86400	3028	1344	1,741	0,08	0,58
1	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	4	86400	5560	2488	3,004	0,2	1,16
2	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	4	86400	5560	2488	2,998	0,18	1,04
3	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	4	86400	5560	2488	2,99	0,2	1,39
4	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	4	86400	5560	2488	2,991	0,18	1,27
5	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	4	86400	5560	2488	3,023	0,18	1,27
1	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	8	86400	10624	4764	5,595	0,3	4,86
2	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	8	86400	10624	4764	5,589	0,3	4,51
3	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	8	86400	10624	4764	5,572	0,3	4,86
4	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	8	86400	10624	4764	5,6	0,29	4,05
5	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	8	86400	10624	4764	5,808	0,31	4,98
1	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	16	86400	20748	9308	12,358	0,41	10,88
2	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	16	86400	20748	9308	10,852	0,4	10,53
