Run	Operation	Compressed?	Parameters	Records	File size (KB)	Execution Time (s)	Mean Power (W)	Energy Consumption (J)
1	monitoring/generation file	No	1	86400	1764	1,006	0,15	0,35
2	monitoring/generation file	No	1	86400	1764	0,943	0,17	0,58
3	monitoring/generation file	No	1	86400	1764	0,949	0,17	0,58
4	monitoring/generation file	No	1	86400	1764	0,954	0,17	0,58
5	monitoring/generation file	No	1	86400	1764	0,927	0,17	0,58
1	monitoring/generation file	No	2	86400	3028	1,304	0,15	0,35
2	monitoring/generation file	No	2	86400	3028	1,31	0,15	0,35
3	monitoring/generation file	No	2	86400	3028	1,284	0,18	1,27
4	monitoring/generation file	No	2	86400	3028	1,304	0,17	0,58
5	monitoring/generation file	No	2	86400	3028	1,311	0,17	0,58
1	monitoring/generation file	No	4	86400	5560	1,982	0,17	0,58
2	monitoring/generation file	No	4	86400	5560	1,965	0,18	1,04
3	monitoring/generation file	No	4	86400	5560	1,969	0,19	1,74
4	monitoring/generation file	No	4	86400	5560	1,959	0,18	1,04
5	monitoring/generation file	No	4	86400	5560	2,087	0,18	1,04
1	monitoring/generation file	No	8	86400	10624	3,28	0,2	2,78
2	monitoring/generation file	No	8	86400	10624	3,219	0,23	2,08
3	monitoring/generation file	No	8	86400	10624	3,242	0,23	2,31
4	monitoring/generation file	No	8	86400	10624	3,217	0,23	2,08
5	monitoring/generation file	No	8	86400	10624	3,313	0,2	1,62
1	monitoring/generation file	No	16	86400	20748	6,013	0,28	4,17
2	monitoring/generation file	No	16	86400	20748	6,038	0,34	6,37
3	monitoring/generation file	No	16	86400	20748	5,966	0,28	5,44
4	monitoring/generation file	No	16	86400	20748	5,959	0,29	6,71
5	monitoring/generation file	No	16	86400	20748	6,095	0,3	5,9
1	monitoring/generation file	No	32	86400	40996	11,244	0,38	10,19
2	monitoring/generation file	No	32	86400	40996	11,303	0,38	11,81
3	monitoring/generation file	No	32	86400	40996	11,371	0,41	11,34
4	monitoring/generation file	No	32	86400	40996	11,787	0,4	11,23
5	monitoring/generation file	No	32	86400	41000	11,307	0,36	12,38
1	monitoring/generation file	No	64	86400	81500	22,298	0,52	23,38
2	monitoring/generation file	No	64	86400	81504	22,078	0,52	23,5
3	monitoring/generation file	No	64	86400	81500	22,156	0,53	23,38
4	monitoring/generation file	No	64	86400	81500	22,781	0,51	24,77
5	monitoring/generation file	No	64	86400	81496	22,139	0,53	24,31
1	monitoring/generation file	No	128	86400	162500	45,099	0,57	50,23
2	monitoring/generation file	No	128	86400	162496	47,562	0,59	50,93
3	monitoring/generation file	No	128	86400	162500	46,253	0,6	51,04
4	monitoring/generation file	No	128	86400	162496	44,054	0,6	49,65
5	monitoring/generation file	No	128	86400	162496	43,376	0,59	50
